ecosystem,name,version,license,repository
"npm","cssfilter","0.0.10","MIT","https://github.com/leizongmin/js-css-filter"
"npm","cytoscape-cose-bilkent","4.1.0","MIT","https://github.com/cytoscape/cytoscape.js-cose-bilkent"
"npm","cytoscape-fcose","2.2.0","MIT","https://github.com/iVis-at-Bilkent/cytoscape.js-fcose"
"npm","cytoscape","3.33.4","MIT","https://github.com/cytoscape/cytoscape.js"
"npm","d3-array","2.12.1","BSD-3-Clause","https://github.com/d3/d3-array"
"npm","d3-array","3.2.4","ISC","https://github.com/d3/d3-array"
"npm","d3-axis","3.0.0","ISC","https://github.com/d3/d3-axis"
"npm","d3-brush","3.0.0","ISC","https://github.com/d3/d3-brush"
"npm","d3-chord","3.0.1","ISC","https://github.com/d3/d3-chord"
"npm","d3-color","3.1.0","ISC","https://github.com/d3/d3-color"
"npm","d3-contour","4.0.2","ISC","https://github.com/d3/d3-contour"
"npm","d3-delaunay","6.0.4","ISC","https://github.com/d3/d3-delaunay"
"npm","d3-dispatch","3.0.1","ISC","https://github.com/d3/d3-dispatch"
"npm","d3-drag","3.0.0","ISC","https://github.com/d3/d3-drag"
"npm","d3-dsv","3.0.1","ISC","https://github.com/d3/d3-dsv"
"npm","d3-ease","3.0.1","BSD-3-Clause","https://github.com/d3/d3-ease"
"npm","d3-fetch","3.0.1","ISC","https://github.com/d3/d3-fetch"
"npm","d3-force","3.0.0","ISC","https://github.com/d3/d3-force"
"npm","d3-format","3.1.2","ISC","https://github.com/d3/d3-format"
"npm","d3-geo","3.1.1","ISC","https://github.com/d3/d3-geo"
"npm","d3-hierarchy","3.1.2","ISC","https://github.com/d3/d3-hierarchy"
"npm","d3-interpolate","3.0.1","ISC","https://github.com/d3/d3-interpolate"
"npm","d3-path","1.0.9","BSD-3-Clause","https://github.com/d3/d3-path"
"npm","d3-path","3.1.0","ISC","https://github.com/d3/d3-path"
"npm","d3-polygon","3.0.1","ISC","https://github.com/d3/d3-polygon"
"npm","d3-quadtree","3.0.1","ISC","https://github.com/d3/d3-quadtree"
"npm","d3-random","3.0.1","ISC","https://github.com/d3/d3-random"
"npm","d3-sankey","0.12.3","BSD-3-Clause","https://github.com/d3/d3-sankey"
"npm","d3-scale-chromatic","3.1.0","ISC","https://github.com/d3/d3-scale-chromatic"
"npm","d3-scale","4.0.2","ISC","https://github.com/d3/d3-scale"
"npm","d3-selection","3.0.0","ISC","https://github.com/d3/d3-selection"
